snapped_at,price,market_cap,total_volume
2021-01-18 00:00:00 UTC,3.81598415593309,1017470477.7839756,93623327.60068645
2021-01-19 00:00:00 UTC,3.7751466399459668,987108914.5515286,92855359.6361952
2021-01-20 00:00:00 UTC,3.641431311969665,953132372.6214266,70082464.78928855
2021-01-21 00:00:00 UTC,3.729115837327082,973442831.7891594,58455688.05431196
2021-01-22 00:00:00 UTC,2.9988114745903562,786986237.3494189,56210951.531339064
2021-01-23 00:00:00 UTC,3.341360079142882,870802220.8670269,78912922.70962742
2021-01-24 00:00:00 UTC,3.5015683031312848,910358037.3778708,34563933.459064916
2021-01-25 00:00:00 UTC,3.63170707484897,946423915.3825785,39857016.48670482
2021-01-26 00:00:00 UTC,3.7139996330041947,970376773.8007468,102071940.74413401
2021-01-27 00:00:00 UTC,4.032884053809296,1054703273.4109547,99915130.853126
2021-01-28 00:00:00 UTC,3.699511535159664,965216149.5931334,41769652.736767605
2021-01-29 00:00:00 UTC,3.817402068465168,994404569.1401209,39406683.91005037
2021-01-30 00:00:00 UTC,3.8643485930849732,1011832935.6122584,56780983.11915729
2021-01-31 00:00:00 UTC,4.233485772671465,1099976702.0181136,67081650.437249236
2021-02-01 00:00:00 UTC,4.263968588843047,1108554251.4633815,97446415.859447
2021-02-02 00:00:00 UTC,4.594574802707021,1181003688.1507916,46965792.231593795
2021-02-03 00:00:00 UTC,5.257321084771443,1375270992.6864703,123805679.78884633
2021-02-04 00:00:00 UTC,5.721470793794539,1486424501.2461636,94154842.87095357
2021-02-05 00:00:00 UTC,6.41624673360909,1677733734.3813236,136705073.21189842
2021-02-06 00:00:00 UTC,6.706647732382283,1732564478.9479501,122560651.23753116
2021-02-07 00:00:00 UTC,6.117657911972685,1614662623.626382,134130068.36753744
2021-02-08 00:00:00 UTC,6.657339688114339,1741080410.398057,133124403.50118582
2021-02-09 00:00:00 UTC,7.908749783879188,2067531944.1291592,198992540.37720096
2021-02-10 00:00:00 UTC,7.84013833144138,2066515667.7340856,155211915.61724132
2021-02-11 00:00:00 UTC,9.021720125352658,2347978417.7784863,151648521.93150106
2021-02-12 00:00:00 UTC,9.200179305161805,2396719732.1723113,201126010.15108156
2021-02-13 00:00:00 UTC,9.228804888243197,2426763287.306892,114926769.55619727
2021-02-14 00:00:00 UTC,8.713969623823095,2299907027.7197843,116673415.15525527
2021-02-15 00:00:00 UTC,8.727632198363525,2299584697.079879,111434979.06446631
2021-02-16 00:00:00 UTC,8.847305421008814,2319301370.904806,109980858.18916675
2021-02-17 00:00:00 UTC,8.30280602969779,2184260799.960396,72282574.1446148
2021-02-18 00:00:00 UTC,8.231931006463842,2173930631.1428275,95778536.21248828
2021-02-19 00:00:00 UTC,9.01266263252076,2375754523.610692,93285838.88247588
2021-02-20 00:00:00 UTC,11.440869401894185,2993685734.1051297,337882476.3629094
2021-02-21 00:00:00 UTC,10.044733825464117,2615417098.0195026,151686888.40429655
