snapped_at,price,market_cap,total_volume
2021-01-18 00:00:00 UTC,0.37968796024672974,11944120204.049417,5632481727.628044
2021-01-19 00:00:00 UTC,0.3696509940325456,11556220463.724558,3594501559.179449
2021-01-20 00:00:00 UTC,0.3693457419983242,11583747204.108196,2957432002.378526
2021-01-21 00:00:00 UTC,0.3763115739575005,11629239817.496456,3314777145.018924
2021-01-22 00:00:00 UTC,0.311240182830754,9813434945.822624,3158075594.9716253
2021-01-23 00:00:00 UTC,0.3511613639040078,10808585450.780878,4093983206.349115
2021-01-24 00:00:00 UTC,0.3464554739144793,10775451797.658688,2968549141.6525126
2021-01-25 00:00:00 UTC,0.35209629856051367,10907245699.203642,2870391825.2037973
2021-01-26 00:00:00 UTC,0.3443612535369296,10718641448.677244,2239860916.453625
2021-01-27 00:00:00 UTC,0.34389780984225143,10707255441.64569,1848031728.9798493
2021-01-28 00:00:00 UTC,0.3123153604650019,9653513519.30118,1845484838.6889033
2021-01-29 00:00:00 UTC,0.34463217359695725,10775736944.967438,2103438290.658315
2021-01-30 00:00:00 UTC,0.3475197098777403,10870768823.23515,2586671468.5068235
2021-01-31 00:00:00 UTC,0.36048067269930434,11492910452.930855,2354964351.045102
2021-02-01 00:00:00 UTC,0.34567339342407216,11024882710.653038,1922223620.153523
2021-02-02 00:00:00 UTC,0.4014135429277523,12802876639.677765,3203513341.743772
2021-02-03 00:00:00 UTC,0.42529320536520604,13649744225.9608,5151435047.757959
2021-02-04 00:00:00 UTC,0.44121581461457365,14046780963.90513,2963647375.4718184
2021-02-05 00:00:00 UTC,0.4415987967960127,14124867498.632465,2526990155.5630846
2021-02-06 00:00:00 UTC,0.5385518589400373,17202094510.163548,5138347917.095156
2021-02-07 00:00:00 UTC,0.62635697398072,19854979470.033638,6225004469.82153
2021-02-08 00:00:00 UTC,0.6594719394352474,20910050886.32516,8483795430.597777
2021-02-09 00:00:00 UTC,0.6873068371578556,21857345265.124405,6526446442.153341
2021-02-10 00:00:00 UTC,0.7059190563060789,22537176367.01823,4430904463.339153
2021-02-11 00:00:00 UTC,0.9239854497397343,29471024411.441452,10892994885.217123
2021-02-12 00:00:00 UTC,0.927712152275745,29490259208.42937,7257994780.916856
2021-02-13 00:00:00 UTC,0.9232752043586164,29484763500.13651,5275893428.661645
2021-02-14 00:00:00 UTC,0.9039954754716988,28898521927.17186,4440592841.183854
2021-02-15 00:00:00 UTC,0.8503794813667799,27180580246.00645,4315179193.353438
2021-02-16 00:00:00 UTC,0.8600617955345385,27363016264.865456,6170566197.389213
2021-02-17 00:00:00 UTC,0.8746051613561255,27928267753.64383,4708239792.834361
2021-02-18 00:00:00 UTC,0.8887320746562535,28374309990.04283,4147966953.0311294
2021-02-19 00:00:00 UTC,0.9127152054579659,29081988032.46847,4727330677.658762
2021-02-20 00:00:00 UTC,0.9331549494994794,29861793769.83866,4500915018.129318
2021-02-21 00:00:00 UTC,1.125679550953505,35319686744.70111,10595397192.580061
2021-02-22 00:00:00 UTC,1.1045825826681024,35410060966.21958,6593642966.007436
2021-02-23 00:00:00 UTC,1.1031371687829759,35028892675.36006,9804462887.606747
2021-02-24 00:00:00 UTC,0.9557803324164977,30289508304.79003,9841922168.551193
2021-02-25 00:00:00 UTC,1.0588493273684532,33843111261.4633,7999062191.744385
2021-02-26 00:00:00 UTC,1.0769141206846373,35020140015.7137,7725767289.384969
2021-02-27 00:00:00 UTC,1.2450616886921637,39925051371.214134,13328352966.640017
2021-02-28 00:00:00 UTC,1.3428086739147602,42146907598.95325,17436012662.324448
2021-03-01 00:00:00 UTC,1.3032197936512573,42022774483.531845,14237710595.243414
2021-03-02 00:00:00 UTC,1.3028526075622868,41594037335.68449,9327929929.517141
2021-03-03 00:00:00 UTC,1.228823419292327,39334338629.338974,6918648225.014435
2021-03-04 00:00:00 UTC,1.2196969639873494,39107972070.42584,4665067737.673394
2021-03-05 00:00:00 UTC,1.1178174311813185,35699298071.869316,6490723520.273779
2021-03-06 00:00:00 UTC,1.1647617398711405,37171491761.50835,6987637522.385762
2021-03-07 00:00:00 UTC,1.132986057016409,36209341046.99843,4637649584.631506
2021-03-08 00:00:00 UTC,1.1368141994089112,36237342226.55843,4460411320.369372
2021-03-09 00:00:00 UTC,1.1233299872828357,35980627649.90802,3837785843.2315207
2021-03-10 00:00:00 UTC,1.1887464492963455,37935761722.85194,5116872043.446383
2021-03-11 00:00:00 UTC,1.1354441106096025,36408738227.808464,4232588270.295405
2021-03-12 00:00:00 UTC,1.1282646217609689,35855208322.38496,3648463949.8036437
2021-03-13 00:00:00 UTC,1.0366312750554578,33152429641.02667,4091220904.183962
2021-03-14 00:00:00 UTC,1.1022266932718396,35195036232.59664,5574966052.413064
2021-03-15 00:00:00 UTC,1.0647770640531313,34009748229.638126,3873912799.3651237
2021-03-16 00:00:00 UTC,1.0313636409049007,33196924181.247555,4425930270.171271
2021-03-17 00:00:00 UTC,1.2457256808694213,39776083076.15777,8556622752.392891
2021-03-18 00:00:00 UTC,1.3830039530574736,44206349365.28759,9359322303.77906
2021-03-19 00:00:00 UTC,1.2367141494244955,39635535373.70477,10308489296.444132
2021-03-20 00:00:00 UTC,1.3019540528542999,41583044699.256805,7537246767.764254
2021-03-21 00:00:00 UTC,1.20742530325912,38792953193.45229,4331034923.459506
2021-03-22 00:00:00 UTC,1.1892303146494605,38071795657.28376,3952826743.0277476
2021-03-23 00:00:00 UTC,1.1068807388708692,35708026844.135155,4024094759.5586314
2021-03-24 00:00:00 UTC,1.127048197620845,36009559805.77391,4313834035.689378
