snapped_at,price,market_cap,total_volume
2021-01-28 00:00:00 UTC,1253.141671558609,141774137750.6659,38752412145.036766
2021-01-29 00:00:00 UTC,1328.773619066556,152877389472.9714,32668893126.715786
2021-01-30 00:00:00 UTC,1380.2842591352105,158354114909.26474,49454503567.54182
2021-01-31 00:00:00 UTC,1372.427228964234,157410718624.21973,29581914651.14533
2021-02-01 00:00:00 UTC,1317.0474362291777,150322722005.1637,24723054987.874157
2021-02-02 00:00:00 UTC,1368.6644548123775,155894407853.50046,28544048877.677177
2021-02-03 00:00:00 UTC,1514.2251957516528,174557101587.54166,42952410181.632454
2021-02-04 00:00:00 UTC,1661.000824367477,189023794263.7008,42202356538.206825
2021-02-05 00:00:00 UTC,1587.8008991859367,183982328605.4526,42668487953.81155
2021-02-06 00:00:00 UTC,1724.8569083393102,196424150368.47876,39147540640.174576
2021-02-07 00:00:00 UTC,1683.941297865053,192164042318.95844,36776919163.51647
2021-02-08 00:00:00 UTC,1608.6405479857196,184109385158.1494,38849634841.44165
2021-02-09 00:00:00 UTC,1750.997553719215,198719063426.16904,45540524354.89187
2021-02-10 00:00:00 UTC,1769.053533934599,203102939465.473,42127693213.60732
2021-02-11 00:00:00 UTC,1739.164209004836,199919369275.37125,40563120176.97226
2021-02-12 00:00:00 UTC,1782.5088691218523,203774834938.25632,33868453070.396435
2021-02-13 00:00:00 UTC,1841.1977507032907,210344318124.73236,36105354379.40371
2021-02-14 00:00:00 UTC,1810.8425457323726,207890872554.91016,33305061601.17683
2021-02-15 00:00:00 UTC,1804.9841464366498,207057026271.03055,30218599726.89195
2021-02-16 00:00:00 UTC,1775.758351701864,203972439068.60135,37652347195.44906
2021-02-17 00:00:00 UTC,1782.5753090505934,204528599567.24704,33252538989.620327
2021-02-18 00:00:00 UTC,1845.5739221567521,211713928319.03534,33582379213.069286
2021-02-19 00:00:00 UTC,1938.5694368074617,221863277318.4042,34799956643.698685
2021-02-20 00:00:00 UTC,1969.9797177628186,226038410300.14252,34796767875.96328
2021-02-21 00:00:00 UTC,1929.367692879665,221404545098.43417,44957939435.53464
2021-02-22 00:00:00 UTC,1941.4267676797988,223004310602.46854,33064349740.90669
2021-02-23 00:00:00 UTC,1788.6152102806425,204731064486.9056,53799590366.036766
2021-02-24 00:00:00 UTC,1563.9246059011416,179691686731.1511,62714754623.34122
2021-02-25 00:00:00 UTC,1628.391533792655,185843232352.39114,40313400449.155266
2021-02-26 00:00:00 UTC,1468.8601037286776,168658293547.98462,31736119376.25847
2021-02-27 00:00:00 UTC,1450.988746804119,167151176870.9801,36682073651.905846
2021-02-28 00:00:00 UTC,1480.1295768477528,167833687528.28204,28221473460.214203
2021-03-01 00:00:00 UTC,1416.661552837565,163289758568.53607,35420463945.47327
2021-03-02 00:00:00 UTC,1570.3996896340539,179885012253.05722,31604939381.863796
2021-03-03 00:00:00 UTC,1497.0891042633873,172017777678.2973,29049758215.725
2021-03-04 00:00:00 UTC,1579.4271687603093,182133382817.63593,30352405292.089714
2021-03-05 00:00:00 UTC,1546.4996211167372,177647949967.0106,29848246930.850037
2021-03-06 00:00:00 UTC,1539.0484290947375,176268279969.45792,28537887161.018692
2021-03-07 00:00:00 UTC,1661.9279698998157,191505024384.2956,31094969328.98433
2021-03-08 00:00:00 UTC,1727.463096224567,198695961501.5439,29416647567.957836
